C2,0.2000,0.000,922.5,1.7922E+04,8.0945E-02,26.80,1.1743E-06,371.8,0.4949,1.0350E+04,41.68,
C2,0.3000,0.000,943.3,1.7958E+04,8.2991E-02,26.80,1.1784E-06,371.7,0.5023,1.0350E+04,42.30,
C2,0.4000,0.000,964.2,1.7994E+04,8.4693E-02,26.80,1.1760E-06,371.7,0.5108,1.0349E+04,42.69,
C2,0.5000,0.000,985.0,1.8030E+04,8.6251E-02,26.80,1.1712E-06,371.7,0.5196,1.0349E+04,42.98,
C2,0.6000,0.000,1006.,1.8066E+04,8.7730E-02,26.80,1.1655E-06,371.7,0.5285,1.0348E+04,43.23,
C2,0.7000,0.000,1027.,1.8102E+04,8.9161E-02,26.80,1.1593E-06,371.7,0.5375,1.0348E+04,43.45,
C2,0.8000,0.000,1048.,1.8138E+04,9.0556E-02,26.80,1.1531E-06,371.7,0.5465,1.0347E+04,43.66,
C2,0.9000,0.000,1068.,1.8175E+04,9.1924E-02,26.80,1.1468E-06,371.6,0.5554,1.0347E+04,43.86,
C2,1.000,0.000,1089.,1.8211E+04,9.3269E-02,26.79,1.1406E-06,371.6,0.5644,1.0346E+04,44.05,
C2,1.000,0.000,1089.,1.8211E+04,9.3269E-02,26.79,1.1406E-06,371.6,0.5644,1.0346E+04,44.05,
D1,EndTable:,C2,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),Ca+2,Cl-,Fe+2,H+,HCO3-,HPO4-2,K+,Mg+2,Na+,SiO2,AQ,
D1,0.000,0.000,1.0197E-02,0.5189,1.4712E-09,2.0766E-03,2.3000E-03,2.9788E-09,9.8000E-03,1.2441E-02,0.4640,1.5913E-05,
D1,1.0000E-08,0.000,1.0197E-02,0.5189,2.7150E-09,2.0766E-03,2.3000E-03,2.9786E-09,9.8000E-03,1.2441E-02,0.4640,1.5913E-05,
D1,3.0000E-08,0.000,1.0197E-02,0.5189,3.2083E-09,2.0766E-03,2.3000E-03,2.9782E-09,9.8000E-03,1.2440E-02,0.4640,1.5912E-05,
D1,1.0000E-07,0.000,1.0199E-02,0.5189,9.8995E-09,2.0766E-03,2.3000E-03,2.9771E-09,9.8000E-03,1.2439E-02,0.4640,1.5910E-05,
D1,2.9312E-07,0.000,1.0203E-02,0.5189,2.7773E-08,2.0766E-03,2.3000E-03,2.9738E-09,9.8000E-03,1.2434E-02,0.4640,1.5904E-05,
D1,8.8341E-07,0.000,1.0217E-02,0.5189,7.9865E-08,2.0766E-03,2.3000E-03,2.9638E-09,9.8000E-03,1.2421E-02,0.4640,1.5886E-05,
D1,1.0000E-06,0.000,1.0219E-02,0.5189,8.9802E-08,2.0767E-03,2.3000E-03,2.9618E-09,9.8000E-03,1.2418E-02,0.4640,1.5883E-05,
D1,3.0339E-06,0.000,1.0266E-02,0.5189,2.4878E-07,2.0768E-03,2.3000E-03,2.9275E-09,9.8000E-03,1.2372E-02,0.4640,1.5836E-05,
D1,8.5669E-06,0.000,1.0391E-02,0.5189,5.8890E-07,2.0772E-03,2.3000E-03,2.8361E-09,9.8000E-03,1.2246E-02,0.4640,1.5758E-05,
D1,1.0000E-05,0.000,1.0424E-02,0.5189,6.6189E-07,2.0773E-03,2.3000E-03,2.8129E-09,9.8000E-03,1.2213E-02,0.4640,1.5743E-05,
D1,2.7735E-05,0.000,1.0827E-02,0.5189,1.2939E-06,2.0784E-03,2.3000E-03,2.5411E-09,9.8001E-03,1.1809E-02,0.4640,1.5641E-05,
D1,7.6226E-05,0.000,1.1928E-02,0.5189,2.0304E-06,2.0813E-03,2.3001E-03,1.9297E-09,9.8003E-03,1.0706E-02,0.4640,1.5551E-05,
D1,1.0000E-04,0.000,1.2468E-02,0.5189,2.1844E-06,2.0826E-03,2.3001E-03,1.6872E-09,9.8004E-03,1.0166E-02,0.4640,1.5533E-05,
D1,2.8929E-04,0.000,1.6768E-02,0.5189,1.9407E-06,2.0869E-03,2.3003E-03,5.4037E-10,9.8012E-03,5.8673E-03,0.4641,1.5494E-05,
D1,5.0485E-04,0.000,2.1665E-02,0.5190,4.7459E-07,1.9841E-03,2.3005E-03,4.5452E-11,9.8020E-03,1.0264E-03,0.4641,1.5522E-05,
D1,5.0486E-04,0.000,2.1665E-02,0.5190,4.7476E-07,1.9843E-03,2.3005E-03,4.5519E-11,9.8020E-03,1.0261E-03,0.4641,1.5559E-05,
D1,5.1578E-04,0.000,2.1913E-02,0.5190,5.7139E-07,2.1065E-03,2.3005E-03,1.2315E-10,9.8021E-03,7.1686E-04,0.4641,9.6941E-05,
D1,5.4731E-04,0.000,2.2629E-02,0.5190,1.0897E-07,1.9731E-03,2.3005E-03,2.9114E-11,9.8022E-03,6.8170E-05,0.4641,5.6198E-04,
D1,5.6543E-04,0.000,2.2734E-02,0.5190,7.4099E-08,1.8214E-03,2.3005E-03,1.1900E-11,9.8022E-03,4.0067E-05,0.4641,4.0356E-04,
D1,7.7387E-04,0.000,2.2734E-02,0.5190,1.0078E-07,1.8245E-03,2.3005E-03,1.2079E-11,9.8022E-03,3.9658E-05,0.4641,4.1071E-04,
